"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",31.171,25.8
"2021_8_26_10_2",27.342,25.7
"2021_8_26_10_3",26.186,24.8
"2021_8_26_11_0",27.084,25.3
"2021_8_26_11_1",27.215,25.6
"2021_8_26_11_2",29.928,26.9
"2021_8_26_11_3",28.933,27.8
"2021_8_26_12_0",29.655,28.3
"2021_8_26_12_1",31.628,30.1
"2021_8_26_12_2",31.943,30.1
"2021_8_26_12_3",30.851,29.7
"2021_8_26_13_0",30.2,30.3
"2021_8_26_13_1",30.995,31.6
"2021_8_26_13_2",29.243,31.8
"2021_8_26_13_3",29.748,31.5
"2021_8_26_14_0",30.378,31.7
"2021_8_26_14_1",29.993,32.1
"2021_8_26_14_2",29.483,32.1
"2021_8_26_14_3",29.798,31.5
"2021_8_26_15_0",29.131,31.9
"2021_8_26_15_1",29.734,32.1
"2021_8_26_15_2",29.867,31.7
"2021_8_26_15_3",30.132,31.9
"2021_8_26_16_0",30.347,31.7
"2021_8_26_16_1",30.326,32.1
"2021_8_26_16_2",30.178,31
"2021_8_26_16_3",30.147,30.4
"2021_8_26_17_0",29.526,30.5
"2021_8_26_17_1",29.764,29.9
"2021_8_26_17_2",29.746,29.4
"2021_8_26_17_3",29.397,28.8
"2021_8_26_18_0",28.813,28
"2021_8_26_18_1",28.665,28
"2021_8_26_18_2",27.748,27.4
"2021_8_26_18_3",27.43,26.9
"2021_8_26_19_0",26.634,26.2
"2021_8_26_19_1",26.182,25.7
"2021_8_26_19_2",25.242,24.7
"2021_8_26_19_3",24.048,23.8
"2021_8_26_20_0",22.687,22.5
"2021_8_26_20_1",21.875,21.6
"2021_8_26_20_2",21.288,21.1
"2021_8_26_20_3",21.321,21.1
"2021_8_26_21_0",21.546,20.9
"2021_8_26_21_1",21.093,20.6
"2021_8_26_21_2",21.003,20.4
"2021_8_26_21_3",20.938,20.5
"2021_8_26_22_0",21.795,21.1
"2021_8_26_22_1",22.205,21.9
"2021_8_26_22_2",22.262,21.9
"2021_8_26_22_3",22.369,21.9
"2021_8_26_23_0",22.097,21.7
"2021_8_26_23_1",22.018,21.6
"2021_8_26_23_2",22.096,21.5
"2021_8_26_23_3",21.927,21.5
"2021_8_27_0_0",21.909,21.3
"2021_8_27_0_1",22.052,21.3
"2021_8_27_0_2",21.942,21.2
"2021_8_27_0_3",21.521,21
"2021_8_27_1_0",21.279,20.8
"2021_8_27_1_1",20.926,20.5
"2021_8_27_1_2",21.172,20.6
"2021_8_27_1_3",21.148,20.6
"2021_8_27_2_0",20.963,20.2
"2021_8_27_2_1",20.568,20.1
"2021_8_27_2_2",20.46,20
"2021_8_27_2_3",20.694,20.1
"2021_8_27_3_0",20.732,20
"2021_8_27_3_1",20.921,20.1
"2021_8_27_3_2",20.755,20
"2021_8_27_3_3",20.167,19.5
"2021_8_27_4_0",19.774,19.1
"2021_8_27_4_1",19.738,19
"2021_8_27_4_2",19.52,18.8
"2021_8_27_4_3",19.075,18.4
"2021_8_27_5_0",18.827,18.2
"2021_8_27_5_1",18.793,18
"2021_8_27_5_2",18.515,17.8
"2021_8_27_5_3",18.228,17.5
"2021_8_27_6_0",17.99,17.3
"2021_8_27_6_1",18.03,17.4
"2021_8_27_6_2",18.118,17.4
"2021_8_27_6_3",18.154,17.5
"2021_8_27_7_0",17.968,17.2
"2021_8_27_7_1",17.803,17
"2021_8_27_7_2",17.72,16.9
"2021_8_27_7_3",17.721,16.9
"2021_8_27_8_0",17.576,16.9
"2021_8_27_8_1",17.471,16.8
"2021_8_27_8_2",17.553,16.8
"2021_8_27_8_3",17.684,16.9
"2021_8_27_9_0",17.39,16.5
"2021_8_27_9_1",17.052,16.2
"2021_8_27_9_2",16.57,15.8
"2021_8_27_9_3",16.86,15.8
"2021_8_27_10_0",16.695,15.5
"2021_8_27_10_1",16.862,15.6
"2021_8_27_10_2",17.226,16.1
"2021_8_27_10_3",17.418,16.3
"2021_8_27_11_0",17.613,16.6
"2021_8_27_11_1",19.019,16.9
"2021_8_27_11_2",18.072,16.8
"2021_8_27_11_3",18.895,17.6
"2021_8_27_12_0",21.575,19.2
"2021_8_27_12_1",20.618,19.2
"2021_8_27_12_2",21.243,19.7
"2021_8_27_12_3",21.979,21.2
"2021_8_27_13_0",23.166,21.4
"2021_8_27_13_1",23.758,21.4
"2021_8_27_13_2",22.298,22.9
"2021_8_27_13_3",23.892,24.6
"2021_8_27_14_0",25.054,26.4
"2021_8_27_14_1",23.921,26.5
"2021_8_27_14_2",24.385,26.9
"2021_8_27_14_3",24.96,26.9
"2021_8_27_15_0",23.943,27
"2021_8_27_15_1",24.755,27.6
"2021_8_27_15_2",25.365,27.9
"2021_8_27_15_3",25.242,27
"2021_8_27_16_0",24.984,26.5
"2021_8_27_16_1",24.868,25.8
"2021_8_27_16_2",25.554,26.2
"2021_8_27_16_3",25.91,25.8
"2021_8_27_17_0",22.17,22.2
"2021_8_27_17_1",25.183,23.5
"2021_8_27_17_2",23.954,22.6
"2021_8_27_17_3",22.803,22.5
"2021_8_27_18_0",24.306,23.1
"2021_8_27_18_1",22.48,21.8
"2021_8_27_18_2",22.339,21.6
"2021_8_27_18_3",21.585,21.1
"2021_8_27_19_0",21.843,21.1
"2021_8_27_19_1",21.522,20.6
"2021_8_27_19_2",20.384,19.7
"2021_8_27_19_3",19.566,18.6
"2021_8_27_20_0",18.374,17.9
"2021_8_27_20_1",17.721,17.6
"2021_8_27_20_2",17.966,17.6
"2021_8_27_20_3",18.192,17.4
"2021_8_27_21_0",17.648,16.9
"2021_8_27_21_1",17.045,16.4
