"timestamp_normalizzato","target","evja_temp"
"2021_8_27_21_1",16.68,16.4
"2021_8_27_21_2",16.421,16
"2021_8_27_21_3",16.085,15.6
"2021_8_27_22_0",15.961,15.5
"2021_8_27_22_1",15.783,15.3
"2021_8_27_22_2",15.573,15.2
"2021_8_27_22_3",15.397,15
"2021_8_27_23_0",15.109,14.8
"2021_8_27_23_1",14.952,14.6
"2021_8_27_23_2",15.075,14.5
"2021_8_27_23_3",14.901,14.5
"2021_8_28_0_0",15.202,14.6
"2021_8_28_0_1",15.403,14.8
"2021_8_28_0_2",15.491,14.9
"2021_8_28_0_3",15.396,14.8
"2021_8_28_1_0",15.5,15.1
"2021_8_28_1_1",15.466,14.7
"2021_8_28_1_2",14.976,14.4
"2021_8_28_1_3",14.789,14.1
"2021_8_28_2_0",14.295,13.7
"2021_8_28_2_1",13.984,13.5
"2021_8_28_2_2",14.417,13.9
"2021_8_28_2_3",14.623,14.1
"2021_8_28_3_0",14.767,14.2
"2021_8_28_3_1",14.813,14.1
"2021_8_28_3_2",15.19,14.5
"2021_8_28_3_3",15.085,14.6
"2021_8_28_4_0",15.125,14.6
"2021_8_28_4_1",15.44,14.8
"2021_8_28_4_2",15.43,14.9
"2021_8_28_4_3",15.625,15.1
"2021_8_28_5_0",15.624,15.1
"2021_8_28_5_1",15.597,14.9
"2021_8_28_5_2",15.754,15.1
"2021_8_28_5_3",15.7,15.1
"2021_8_28_6_0",15.894,15.1
"2021_8_28_6_1",15.907,15.2
"2021_8_28_6_2",16.015,15.3
"2021_8_28_6_3",16.083,15.3
"2021_8_28_7_0",16.055,15.3
"2021_8_28_7_1",15.953,15.2
"2021_8_28_7_2",15.922,15.4
"2021_8_28_7_3",16.067,15.6
"2021_8_28_8_0",16.012,15.5
"2021_8_28_8_1",16.041,15.2
"2021_8_28_8_2",16.034,15.1
"2021_8_28_8_3",16.129,15.3
"2021_8_28_9_0",16.607,16.1
"2021_8_28_9_1",16.79,15.9
"2021_8_28_9_2",16.799,16
"2021_8_28_9_3",17.363,16.3
"2021_8_28_10_0",17.228,16.6
"2021_8_28_10_1",18.494,18
"2021_8_28_10_2",25.889,21.9
"2021_8_28_10_3",23.349,21.9
"2021_8_28_11_0",25.113,23.2
"2021_8_28_11_1",24.264,22.2
"2021_8_28_11_2",24.68,24.2
"2021_8_28_11_3",27.293,26.2
"2021_8_28_12_0",27.482,25.4
"2021_8_28_12_1",28.307,25.4
"2021_8_28_12_2",27.517,26.1
"2021_8_28_12_3",28.678,26.7
"2021_8_28_13_0",26.289,27
"2021_8_28_13_1",26.306,27.9
"2021_8_28_13_2",25.33,28.8
"2021_8_28_13_3",25.864,28.3
"2021_8_28_14_0",25.81,29.4
"2021_8_28_14_1",25.412,28.6
"2021_8_28_14_2",26.457,29.2
"2021_8_28_14_3",26.352,29.4
"2021_8_28_15_0",26.035,29.6
"2021_8_28_15_1",27.533,30.2
"2021_8_28_15_2",26.048,30.3
"2021_8_28_15_3",27.966,30.7
"2021_8_28_16_0",28.596,28
"2021_8_28_16_1",26.39,27.7
"2021_8_28_16_2",26.211,27.1
"2021_8_28_16_3",26.042,26.8
"2021_8_28_17_0",28.493,26.9
"2021_8_28_17_1",27.1,26
"2021_8_28_17_2",26.266,25.4
"2021_8_28_17_3",26.98,25
"2021_8_28_18_0",26.026,24.1
"2021_8_28_18_1",26.454,24
"2021_8_28_18_2",24.329,23.2
"2021_8_28_18_3",23.566,22.5
"2021_8_28_19_0",22.986,21.9
"2021_8_28_19_1",22.265,21.1
"2021_8_28_19_2",20.872,20.1
"2021_8_28_19_3",19.914,18.9
"2021_8_28_20_0",18.754,17.9
"2021_8_28_20_1",17.521,17.1
"2021_8_28_20_2",17.812,16.8
"2021_8_28_20_3",17.135,16.4
"2021_8_28_21_0",16.839,16.4
"2021_8_28_21_1",17.284,16.6
"2021_8_28_21_2",17.406,16.8
"2021_8_28_21_3",17.729,17
"2021_8_28_22_0",18.921,17.8
"2021_8_28_22_1",19.243,17.9
"2021_8_28_22_2",18.317,17
"2021_8_28_22_3",17.818,16.6
"2021_8_28_23_0",17.193,16.1
"2021_8_28_23_1",16.866,15.8
"2021_8_28_23_2",16.274,15.5
"2021_8_28_23_3",15.955,15.4
"2021_8_29_0_0",15.942,15.4
"2021_8_29_0_1",16.309,15.6
"2021_8_29_0_2",16.353,15.6
"2021_8_29_0_3",16.707,16
"2021_8_29_1_0",16.869,15.9
"2021_8_29_1_1",16.134,15.1
"2021_8_29_1_2",15.648,15
"2021_8_29_1_3",15.852,15
"2021_8_29_2_0",15.609,14.9
"2021_8_29_2_1",15.57,14.8
"2021_8_29_2_2",15.321,14.5
"2021_8_29_2_3",14.77,14.1
"2021_8_29_3_0",14.288,13.6
"2021_8_29_3_1",14.191,13.4
"2021_8_29_3_2",13.882,13
"2021_8_29_3_3",13.296,12.6
"2021_8_29_4_0",13.494,12.7
"2021_8_29_4_1",13.011,12.4
"2021_8_29_4_2",12.823,12.2
"2021_8_29_4_3",12.476,11.9
"2021_8_29_5_0",12.58,11.9
"2021_8_29_5_1",12.246,11.7
"2021_8_29_5_2",12.151,11.7
"2021_8_29_5_3",11.971,11.5
"2021_8_29_6_0",11.919,11.4
"2021_8_29_6_1",12.05,11.5
"2021_8_29_6_2",12.734,11.8
"2021_8_29_6_3",12.733,11.8
"2021_8_29_7_0",12.82,11.8
"2021_8_29_7_1",13.001,12.4
"2021_8_29_7_2",13.826,13.1
"2021_8_29_7_3",13.873,13.4
"2021_8_29_8_0",15.798,15.2
"2021_8_29_8_1",17.617,16.1
"2021_8_29_8_2",19.298,17.2
"2021_8_29_8_3",21.652,18.6
"2021_8_29_9_0",22.754,19.6
"2021_8_29_9_1",25.407,20.2
"2021_8_29_9_2",26.855,21.4
"2021_8_29_9_3",27.816,22.4
"2021_8_29_10_0",28.281,23
"2021_8_29_10_1",29.505,25.1
"2021_8_29_10_2",26.324,23.3
"2021_8_29_10_3",29.557,25
"2021_8_29_11_0",27.439,24.1
"2021_8_29_11_1",29.109,26.1
"2021_8_29_11_2",28.088,26.6
"2021_8_29_11_3",27.499,26.9
"2021_8_29_12_0",28.712,25.8
"2021_8_29_12_1",27.621,25.6
"2021_8_29_12_2",27.842,25.6
"2021_8_29_12_3",27.793,26.6
"2021_8_29_13_0",31.176,28.2
"2021_8_29_13_1",30.323,28.6
"2021_8_29_13_2",27.818,29.5
"2021_8_29_13_3",26.971,28.8
"2021_8_29_14_0",29.008,30.2
"2021_8_29_14_1",28.174,31
"2021_8_29_14_2",29.596,30.6
"2021_8_29_14_3",27.249,29.6
"2021_8_29_15_0",26.949,29.7
"2021_8_29_15_1",29.159,30.9
"2021_8_29_15_2",29.429,30.3
"2021_8_29_15_3",30.444,30.1
"2021_8_29_16_0",28.207,30.1
"2021_8_29_16_1",29.393,28.8
"2021_8_29_16_2",29.673,28.3
