"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",30.729,25.8
"2021_8_26_10_2",28.763,25.7
"2021_8_26_10_3",25.811,24.8
"2021_8_26_11_0",27.138,25.3
"2021_8_26_11_1",26.329,25.6
"2021_8_26_11_2",27.875,26.9
"2021_8_26_11_3",28.634,27.8
"2021_8_26_12_0",29.227,28.3
"2021_8_26_12_1",31.612,30.1
"2021_8_26_12_2",31.155,30.1
"2021_8_26_12_3",31.722,29.7
"2021_8_26_13_0",32.541,30.3
"2021_8_26_13_1",32.836,31.6
"2021_8_26_13_2",29.776,31.8
"2021_8_26_13_3",31.375,31.5
"2021_8_26_14_0",32.734,31.7
"2021_8_26_14_1",31.601,32.1
"2021_8_26_14_2",30.596,32.1
"2021_8_26_14_3",30.784,31.5
"2021_8_26_15_0",30.771,31.9
"2021_8_26_15_1",29.828,32.1
"2021_8_26_15_2",29.746,31.7
"2021_8_26_15_3",30.447,31.9
"2021_8_26_16_0",31.09,31.7
"2021_8_26_16_1",31.061,32.1
"2021_8_26_16_2",31.147,31
"2021_8_26_16_3",30.386,30.4
"2021_8_26_17_0",30.507,30.5
"2021_8_26_17_1",31.445,29.9
"2021_8_26_17_2",31.48,29.4
"2021_8_26_17_3",30.934,28.8
"2021_8_26_18_0",30.695,28
"2021_8_26_18_1",30.454,28
"2021_8_26_18_2",28.258,27.4
"2021_8_26_18_3",27.098,26.9
"2021_8_26_19_0",26.611,26.2
"2021_8_26_19_1",26.018,25.7
"2021_8_26_19_2",25.049,24.7
"2021_8_26_19_3",24.235,23.8
"2021_8_26_20_0",23.115,22.5
"2021_8_26_20_1",22.144,21.6
"2021_8_26_20_2",21.755,21.1
"2021_8_26_20_3",21.51,21.1
"2021_8_26_21_0",21.816,20.9
"2021_8_26_21_1",21.486,20.6
"2021_8_26_21_2",21.124,20.4
"2021_8_26_21_3",20.902,20.5
"2021_8_26_22_0",21.564,21.1
"2021_8_26_22_1",22.742,21.9
"2021_8_26_22_2",22.785,21.9
"2021_8_26_22_3",22.73,21.9
"2021_8_26_23_0",22.603,21.7
"2021_8_26_23_1",22.64,21.6
"2021_8_26_23_2",22.259,21.5
"2021_8_26_23_3",22.438,21.5
"2021_8_27_0_0",22.248,21.3
"2021_8_27_0_1",22.127,21.3
"2021_8_27_0_2",22.1,21.2
"2021_8_27_0_3",21.843,21
"2021_8_27_1_0",21.764,20.8
"2021_8_27_1_1",21.409,20.5
"2021_8_27_1_2",21.501,20.6
"2021_8_27_1_3",21.525,20.6
"2021_8_27_2_0",21.158,20.2
"2021_8_27_2_1",20.942,20.1
"2021_8_27_2_2",20.88,20
"2021_8_27_2_3",21.066,20.1
"2021_8_27_3_0",20.983,20
"2021_8_27_3_1",21.054,20.1
"2021_8_27_3_2",21.081,20
"2021_8_27_3_3",20.382,19.5
"2021_8_27_4_0",19.872,19.1
"2021_8_27_4_1",19.802,19
"2021_8_27_4_2",19.494,18.8
"2021_8_27_4_3",19.051,18.4
"2021_8_27_5_0",18.83,18.2
"2021_8_27_5_1",18.736,18
"2021_8_27_5_2",18.509,17.8
"2021_8_27_5_3",18.282,17.5
"2021_8_27_6_0",18.088,17.3
"2021_8_27_6_1",17.998,17.4
"2021_8_27_6_2",18.258,17.4
"2021_8_27_6_3",18.246,17.5
"2021_8_27_7_0",18.071,17.2
"2021_8_27_7_1",17.775,17
"2021_8_27_7_2",17.605,16.9
"2021_8_27_7_3",17.607,16.9
"2021_8_27_8_0",17.61,16.9
"2021_8_27_8_1",17.486,16.8
"2021_8_27_8_2",17.568,16.8
"2021_8_27_8_3",17.648,16.9
"2021_8_27_9_0",17.22,16.5
"2021_8_27_9_1",16.991,16.2
"2021_8_27_9_2",16.509,15.8
