"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",26.847,25.8
"2021_8_26_10_2",26.326,25.7
"2021_8_26_10_3",25.863,24.8
"2021_8_26_11_0",26.465,25.3
"2021_8_26_11_1",26.937,25.6
"2021_8_26_11_2",28.83,26.9
"2021_8_26_11_3",28.304,27.8
"2021_8_26_12_0",28.075,28.3
"2021_8_26_12_1",29.762,30.1
"2021_8_26_12_2",29.032,30.1
"2021_8_26_12_3",29.082,29.7
"2021_8_26_13_0",29.341,30.3
"2021_8_26_13_1",30.162,31.6
"2021_8_26_13_2",28.9,31.8
"2021_8_26_13_3",29.252,31.5
"2021_8_26_14_0",29.889,31.7
"2021_8_26_14_1",30.228,32.1
"2021_8_26_14_2",31.215,32.1
"2021_8_26_14_3",31.98,31.5
"2021_8_26_15_0",31.332,31.9
"2021_8_26_15_1",33.185,32.1
"2021_8_26_15_2",32.799,31.7
"2021_8_26_15_3",33.024,31.9
"2021_8_26_16_0",33.052,31.7
"2021_8_26_16_1",32.673,32.1
"2021_8_26_16_2",32.111,31
"2021_8_26_16_3",31.168,30.4
"2021_8_26_17_0",29.908,30.5
"2021_8_26_17_1",30.441,29.9
"2021_8_26_17_2",30.484,29.4
"2021_8_26_17_3",30.205,28.8
"2021_8_26_18_0",29.731,28
"2021_8_26_18_1",28.692,28
"2021_8_26_18_2",27.977,27.4
"2021_8_26_18_3",27.698,26.9
"2021_8_26_19_0",26.787,26.2
"2021_8_26_19_1",26.518,25.7
"2021_8_26_19_2",25.433,24.7
"2021_8_26_19_3",24.196,23.8
"2021_8_26_20_0",22.803,22.5
"2021_8_26_20_1",21.813,21.6
"2021_8_26_20_2",21.364,21.1
"2021_8_26_20_3",21.394,21.1
"2021_8_26_21_0",21.39,20.9
"2021_8_26_21_1",20.923,20.6
"2021_8_26_21_2",20.816,20.4
"2021_8_26_21_3",21.008,20.5
"2021_8_26_22_0",21.781,21.1
"2021_8_26_22_1",22.393,21.9
"2021_8_26_22_2",22.371,21.9
"2021_8_26_22_3",22.426,21.9
"2021_8_26_23_0",22.205,21.7
"2021_8_26_23_1",22.12,21.6
"2021_8_26_23_2",22.124,21.5
"2021_8_26_23_3",21.96,21.5
"2021_8_27_0_0",21.975,21.3
"2021_8_27_0_1",22.085,21.3
"2021_8_27_0_2",21.97,21.2
"2021_8_27_0_3",21.619,21
"2021_8_27_1_0",21.369,20.8
"2021_8_27_1_1",20.96,20.5
"2021_8_27_1_2",21.1146,20.6
"2021_8_27_1_3",21.118,20.6
"2021_8_27_2_0",20.954,20.2
"2021_8_27_2_1",20.606,20.1
"2021_8_27_2_2",20.597,20
"2021_8_27_2_3",20.752,20.1
"2021_8_27_3_0",20.762,20
"2021_8_27_3_1",20.978,20.1
"2021_8_27_3_2",20.819,20
"2021_8_27_3_3",20.234,19.5
"2021_8_27_4_0",19.85,19.1
"2021_8_27_4_1",19.781,19
"2021_8_27_4_2",19.542,18.8
"2021_8_27_4_3",19.09,18.4
"2021_8_27_5_0",18.876,18.2
"2021_8_27_5_1",18.815,18
"2021_8_27_5_2",18.53,17.8
"2021_8_27_5_3",18.299,17.5
"2021_8_27_6_0",18.124,17.3
"2021_8_27_6_1",18.109,17.4
"2021_8_27_6_2",18.293,17.4
"2021_8_27_6_3",18.277,17.5
"2021_8_27_7_0",18.087,17.2
"2021_8_27_7_1",17.911,17
"2021_8_27_7_2",17.833,16.9
"2021_8_27_7_3",17.79,16.9
"2021_8_27_8_0",17.815,16.9
"2021_8_27_8_1",17.607,16.8
"2021_8_27_8_2",17.715,16.8
"2021_8_27_8_3",17.738,16.9
"2021_8_27_9_0",17.482,16.5
"2021_8_27_9_1",17.149,16.2
"2021_8_27_9_2",16.67,15.8
"2021_8_27_9_3",16.987,15.8
"2021_8_27_10_0",16.671,15.5
"2021_8_27_10_1",16.747,15.6
"2021_8_27_10_2",17.257,16.1
"2021_8_27_10_3",17.503,16.3
"2021_8_27_11_0",17.856,16.6
"2021_8_27_11_1",18.757,16.9
"2021_8_27_11_2",18.172,16.8
"2021_8_27_11_3",19.106,17.6
"2021_8_27_12_0",21.472,19.2
"2021_8_27_12_1",20.677,19.2
"2021_8_27_12_2",21.424,19.7
"2021_8_27_12_3",22.042,21.2
"2021_8_27_13_0",23.261,21.4
"2021_8_27_13_1",23.999,21.4
"2021_8_27_13_2",22.256,22.9
"2021_8_27_13_3",24.792,24.6
"2021_8_27_14_0",26.082,26.4
"2021_8_27_14_1",24.567,26.5
"2021_8_27_14_2",26.757,26.9
"2021_8_27_14_3",28.066,26.9
"2021_8_27_15_0",26.472,27
"2021_8_27_15_1",28.835,27.6
"2021_8_27_15_2",27.929,27.9
"2021_8_27_15_3",27.87,27
"2021_8_27_16_0",27.873,26.5
"2021_8_27_16_1",27.287,25.8
"2021_8_27_16_2",27.176,26.2
"2021_8_27_16_3",26.601,25.8
"2021_8_27_17_0",22.359,22.2
"2021_8_27_17_1",26.695,23.5
"2021_8_27_17_2",25.139,22.6
"2021_8_27_17_3",23.56,22.5
"2021_8_27_18_0",26.054,23.1
"2021_8_27_18_1",22.622,21.8
"2021_8_27_18_2",22.368,21.6
"2021_8_27_18_3",21.421,21.1
"2021_8_27_19_0",21.875,21.1
"2021_8_27_19_1",21.634,20.6
"2021_8_27_19_2",20.312,19.7
"2021_8_27_19_3",19.182,18.6
"2021_8_27_20_0",18.335,17.9
"2021_8_27_20_1",17.797,17.6
"2021_8_27_20_2",17.931,17.6
"2021_8_27_20_3",18.005,17.4
"2021_8_27_21_0",17.497,16.9
"2021_8_27_21_1",16.952,16.4
"2021_8_27_21_2",16.46,16
"2021_8_27_21_3",16.238,15.6
"2021_8_27_22_0",15.912,15.5
"2021_8_27_22_1",15.715,15.3
"2021_8_27_22_2",15.675,15.2
"2021_8_27_22_3",15.409,15
"2021_8_27_23_0",15.181,14.8
"2021_8_27_23_1",15.199,14.6
"2021_8_27_23_2",15.223,14.5
"2021_8_27_23_3",15.143,14.5
"2021_8_28_0_0",15.161,14.6
"2021_8_28_0_1",15.361,14.8
"2021_8_28_0_2",15.467,14.9
"2021_8_28_0_3",15.409,14.8
"2021_8_28_1_0",15.517,15.1
"2021_8_28_1_1",15.427,14.7
"2021_8_28_1_2",14.812,14.4
"2021_8_28_1_3",14.379,14.1
"2021_8_28_2_0",14.315,13.7
"2021_8_28_2_1",14.068,13.5
"2021_8_28_2_2",14.37,13.9
"2021_8_28_2_3",14.445,14.1
"2021_8_28_3_0",14.96,14.2
"2021_8_28_3_1",14.906,14.1
"2021_8_28_3_2",15.028,14.5
"2021_8_28_3_3",15.187,14.6
"2021_8_28_4_0",15.406,14.6
"2021_8_28_4_1",15.451,14.8
"2021_8_28_4_2",15.542,14.9
"2021_8_28_4_3",15.685,15.1
"2021_8_28_5_0",15.675,15.1
"2021_8_28_5_1",15.627,14.9
"2021_8_28_5_2",15.779,15.1
"2021_8_28_5_3",15.748,15.1
"2021_8_28_6_0",15.937,15.1
"2021_8_28_6_1",15.95,15.2
"2021_8_28_6_2",16.061,15.3
"2021_8_28_6_3",16.08,15.3
"2021_8_28_7_0",16.006,15.3
"2021_8_28_7_1",15.98,15.2
"2021_8_28_7_2",15.882,15.4
"2021_8_28_7_3",16.032,15.6
"2021_8_28_8_0",16.441,15.5
"2021_8_28_8_1",16.241,15.2
"2021_8_28_8_2",15.937,15.1
"2021_8_28_8_3",16.135,15.3
"2021_8_28_9_0",17.196,16.1
"2021_8_28_9_1",17.803,15.9
"2021_8_28_9_2",17.491,16
"2021_8_28_9_3",17.626,16.3
"2021_8_28_10_0",17.648,16.6
"2021_8_28_10_1",18.946,18
"2021_8_28_10_2",26.89,21.9
"2021_8_28_10_3",24.376,21.9
"2021_8_28_11_0",26.793,23.2
"2021_8_28_11_1",25.689,22.2
"2021_8_28_11_2",27.674,24.2
"2021_8_28_11_3",27.339,26.2
"2021_8_28_12_0",27.491,25.4
"2021_8_28_12_1",29.034,25.4
"2021_8_28_12_2",27.721,26.1
"2021_8_28_12_3",27.348,26.7
"2021_8_28_13_0",28.069,27
"2021_8_28_13_1",27.067,27.9
"2021_8_28_13_2",27.642,28.8
"2021_8_28_13_3",28.174,28.3
"2021_8_28_14_0",27.916,29.4
"2021_8_28_14_1",27.388,28.6
"2021_8_28_14_2",29.66,29.2
"2021_8_28_14_3",31.026,29.4
"2021_8_28_15_0",30.337,29.6
"2021_8_28_15_1",30.205,30.2
"2021_8_28_15_2",31.954,30.3
"2021_8_28_15_3",33.575,30.7
"2021_8_28_16_0",29.377,28
"2021_8_28_16_1",30.643,27.7
"2021_8_28_16_2",27.198,27.1
"2021_8_28_16_3",27.887,26.8
"2021_8_28_17_0",28.546,26.9
"2021_8_28_17_1",26.85,26
"2021_8_28_17_2",27.428,25.4
"2021_8_28_17_3",27.944,25
"2021_8_28_18_0",27.819,24.1
"2021_8_28_18_1",24.708,24
"2021_8_28_18_2",23.599,23.2
"2021_8_28_18_3",22.841,22.5
"2021_8_28_19_0",21.972,21.9
"2021_8_28_19_1",21.473,21.1
"2021_8_28_19_2",20.485,20.1
"2021_8_28_19_3",19.282,18.9
"2021_8_28_20_0",18.231,17.9
"2021_8_28_20_1",17.663,17.1
"2021_8_28_20_2",17.393,16.8
"2021_8_28_20_3",16.755,16.4
"2021_8_28_21_0",16.759,16.4
"2021_8_28_21_1",17.198,16.6
"2021_8_28_21_2",17.327,16.8
"2021_8_28_21_3",17.769,17
"2021_8_28_22_0",18.51,17.8
"2021_8_28_22_1",18.553,17.9
"2021_8_28_22_2",17.708,17
"2021_8_28_22_3",17.442,16.6
"2021_8_28_23_0",16.915,16.1
"2021_8_28_23_1",16.436,15.8
