"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",28.297,25.8
"2021_8_26_10_2",26.373,25.7
"2021_8_26_10_3",25.601,24.8
"2021_8_26_11_0",26.417,25.3
"2021_8_26_11_1",26.324,25.6
"2021_8_26_11_2",28.034,26.9
"2021_8_26_11_3",27.824,27.8
"2021_8_26_12_0",28.614,28.3
"2021_8_26_12_1",31.368,30.1
"2021_8_26_12_2",31.65,30.1
"2021_8_26_12_3",32.638,29.7
"2021_8_26_13_0",30.059,30.3
"2021_8_26_13_1",30.782,31.6
"2021_8_26_13_2",28.846,31.8
"2021_8_26_13_3",29.476,31.5
"2021_8_26_14_0",29.917,31.7
"2021_8_26_14_1",29.847,32.1
"2021_8_26_14_2",29.563,32.1
"2021_8_26_14_3",29.842,31.5
"2021_8_26_15_0",29.194,31.9
"2021_8_26_15_1",29.964,32.1
"2021_8_26_15_2",30.103,31.7
"2021_8_26_15_3",30.49,31.9
"2021_8_26_16_0",31.139,31.7
"2021_8_26_16_1",31.082,32.1
"2021_8_26_16_2",30.912,31
"2021_8_26_16_3",31.817,30.4
"2021_8_26_17_0",31.812,30.5
"2021_8_26_17_1",32.057,29.9
"2021_8_26_17_2",32.264,29.4
"2021_8_26_17_3",31.924,28.8
"2021_8_26_18_0",30.474,28
"2021_8_26_18_1",29.864,28
"2021_8_26_18_2",28.137,27.4
"2021_8_26_18_3",27.464,26.9
"2021_8_26_19_0",26.676,26.2
"2021_8_26_19_1",25.922,25.7
"2021_8_26_19_2",24.85,24.7
"2021_8_26_19_3",23.896,23.8
"2021_8_26_20_0",22.892,22.5
"2021_8_26_20_1",22.069,21.6
"2021_8_26_20_2",21.633,21.1
"2021_8_26_20_3",21.415,21.1
"2021_8_26_21_0",21.525,20.9
"2021_8_26_21_1",21.381,20.6
"2021_8_26_21_2",21.078,20.4
"2021_8_26_21_3",20.947,20.5
"2021_8_26_22_0",21.467,21.1
"2021_8_26_22_1",22.242,21.9
"2021_8_26_22_2",22.318,21.9
"2021_8_26_22_3",22.306,21.9
"2021_8_26_23_0",22.147,21.7
"2021_8_26_23_1",21.999,21.6
"2021_8_26_23_2",21.884,21.5
"2021_8_26_23_3",21.849,21.5
"2021_8_27_0_0",21.646,21.3
"2021_8_27_0_1",21.645,21.3
"2021_8_27_0_2",21.706,21.2
"2021_8_27_0_3",21.494,21
"2021_8_27_1_0",21.391,20.8
