"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",25.083,25.8
"2021_8_26_10_2",27.227,25.7
"2021_8_26_10_3",25.018,24.8
"2021_8_26_11_0",26.372,25.3
"2021_8_26_11_1",25.498,25.6
"2021_8_26_11_2",26.096,26.9
"2021_8_26_11_3",27.892,27.8
"2021_8_26_12_0",27.79,28.3
"2021_8_26_12_1",29.407,30.1
"2021_8_26_12_2",29.376,30.1
"2021_8_26_12_3",29.254,29.7
"2021_8_26_13_0",30.257,30.3
"2021_8_26_13_1",30.771,31.6
"2021_8_26_13_2",28.919,31.8
"2021_8_26_13_3",29.685,31.5
"2021_8_26_14_0",30.433,31.7
"2021_8_26_14_1",30.53,32.1
"2021_8_26_14_2",30.085,32.1
"2021_8_26_14_3",31.147,31.5
"2021_8_26_15_0",30.898,31.9
"2021_8_26_15_1",33.637,32.1
"2021_8_26_15_2",32.982,31.7
"2021_8_26_15_3",32.193,31.9
"2021_8_26_16_0",32.838,31.7
"2021_8_26_16_1",32.526,32.1
"2021_8_26_16_2",32.759,31
"2021_8_26_16_3",32.256,30.4
"2021_8_26_17_0",32.217,30.5
"2021_8_26_17_1",35.517,29.9
"2021_8_26_17_2",36.034,29.4
"2021_8_26_17_3",34.648,28.8
"2021_8_26_18_0",33.902,28
"2021_8_26_18_1",33.169,28
"2021_8_26_18_2",28.889,27.4
"2021_8_26_18_3",27.258,26.9
"2021_8_26_19_0",26.677,26.2
"2021_8_26_19_1",26.077,25.7
"2021_8_26_19_2",25.057,24.7
"2021_8_26_19_3",24.029,23.8
"2021_8_26_20_0",22.91,22.5
"2021_8_26_20_1",21.997,21.6
"2021_8_26_20_2",21.363,21.1
"2021_8_26_20_3",21.172,21.1
"2021_8_26_21_0",21.339,20.9
"2021_8_26_21_1",20.862,20.6
"2021_8_26_21_2",20.628,20.4
"2021_8_26_21_3",20.708,20.5
"2021_8_26_22_0",21.404,21.1
"2021_8_26_22_1",22.64,21.9
"2021_8_26_22_2",22.606,21.9
"2021_8_26_22_3",22.636,21.9
"2021_8_26_23_0",22.464,21.7
"2021_8_26_23_1",22.528,21.6
