"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",24.82,25.8
"2021_8_26_10_2",25.025,25.7
"2021_8_26_10_3",24.382,24.8
"2021_8_26_11_0",24.816,25.3
"2021_8_26_11_1",25.148,25.6
"2021_8_26_11_2",26.021,26.9
"2021_8_26_11_3",26.172,27.8
"2021_8_26_12_0",26.767,28.3
"2021_8_26_12_1",28.464,30.1
"2021_8_26_12_2",28.133,30.1
"2021_8_26_12_3",28.106,29.7
"2021_8_26_13_0",28.562,30.3
"2021_8_26_13_1",29.209,31.6
"2021_8_26_13_2",28.366,31.8
"2021_8_26_13_3",28.419,31.5
"2021_8_26_14_0",28.762,31.7
"2021_8_26_14_1",28.855,32.1
"2021_8_26_14_2",28.942,32.1
"2021_8_26_14_3",29.397,31.5
"2021_8_26_15_0",28.546,31.9
"2021_8_26_15_1",29.287,32.1
"2021_8_26_15_2",29.429,31.7
"2021_8_26_15_3",29.715,31.9
"2021_8_26_16_0",30.328,31.7
"2021_8_26_16_1",30.395,32.1
"2021_8_26_16_2",30.206,31
"2021_8_26_16_3",30.024,30.4
"2021_8_26_17_0",29.638,30.5
"2021_8_26_17_1",30.021,29.9
"2021_8_26_17_2",29.634,29.4
"2021_8_26_17_3",29.221,28.8
"2021_8_26_18_0",28.608,28
"2021_8_26_18_1",28.363,28
"2021_8_26_18_2",27.715,27.4
"2021_8_26_18_3",27.318,26.9
"2021_8_26_19_0",26.538,26.2
"2021_8_26_19_1",25.952,25.7
"2021_8_26_19_2",24.82,24.7
"2021_8_26_19_3",23.914,23.8
"2021_8_26_20_0",23.103,22.5
"2021_8_26_20_1",22.136,21.6
"2021_8_26_20_2",21.57,21.1
"2021_8_26_20_3",21.397,21.1
"2021_8_26_21_0",21.409,20.9
"2021_8_26_21_1",21.221,20.6
"2021_8_26_21_2",20.865,20.4
"2021_8_26_21_3",20.834,20.5
"2021_8_26_22_0",21.212,21.1
"2021_8_26_22_1",22.28,21.9
"2021_8_26_22_2",22.36,21.9
"2021_8_26_22_3",22.299,21.9
"2021_8_26_23_0",22.091,21.7
"2021_8_26_23_1",22.012,21.6
"2021_8_26_23_2",21.839,21.5
"2021_8_26_23_3",21.869,21.5
"2021_8_27_0_0",21.707,21.3
"2021_8_27_0_1",21.67,21.3
"2021_8_27_0_2",21.691,21.2
"2021_8_27_0_3",21.601,21
"2021_8_27_1_0",21.369,20.8
"2021_8_27_1_1",20.983,20.5
"2021_8_27_1_2",21,20.6
"2021_8_27_1_3",21.047,20.6
"2021_8_27_2_0",20.722,20.2
"2021_8_27_2_1",20.573,20.1
"2021_8_27_2_2",20.479,20
"2021_8_27_2_3",20.674,20.1
"2021_8_27_3_0",20.461,20
"2021_8_27_3_1",20.708,20.1
"2021_8_27_3_2",20.688,20
"2021_8_27_3_3",20.201,19.5
"2021_8_27_4_0",19.836,19.1
"2021_8_27_4_1",19.741,19
"2021_8_27_4_2",19.462,18.8
"2021_8_27_4_3",19.157,18.4
"2021_8_27_5_0",18.87,18.2
"2021_8_27_5_1",18.739,18
"2021_8_27_5_2",18.565,17.8
"2021_8_27_5_3",18.36,17.5
"2021_8_27_6_0",18.149,17.3
"2021_8_27_6_1",18.091,17.4
"2021_8_27_6_2",18.173,17.4
"2021_8_27_6_3",18.21,17.5
"2021_8_27_7_0",18.033,17.2
"2021_8_27_7_1",17.883,17
"2021_8_27_7_2",17.73,16.9
"2021_8_27_7_3",17.729,16.9
"2021_8_27_8_0",17.642,16.9
"2021_8_27_8_1",17.626,16.8
"2021_8_27_8_2",17.632,16.8
"2021_8_27_8_3",17.715,16.9
"2021_8_27_9_0",17.418,16.5
"2021_8_27_9_1",17.126,16.2
"2021_8_27_9_2",16.67,15.8
"2021_8_27_9_3",16.698,15.8
"2021_8_27_10_0",16.545,15.5
"2021_8_27_10_1",16.348,15.6
"2021_8_27_10_2",16.725,16.1
"2021_8_27_10_3",16.984,16.3
"2021_8_27_11_0",17.152,16.6
"2021_8_27_11_1",17.974,16.9
"2021_8_27_11_2",17.567,16.8
"2021_8_27_11_3",18.157,17.6
"2021_8_27_12_0",19.869,19.2
"2021_8_27_12_1",19.243,19.2
"2021_8_27_12_2",19.97,19.7
"2021_8_27_12_3",20.53,21.2
"2021_8_27_13_0",21.149,21.4
"2021_8_27_13_1",21.751,21.4
"2021_8_27_13_2",20.783,22.9
"2021_8_27_13_3",22.455,24.6
"2021_8_27_14_0",23.608,26.4
"2021_8_27_14_1",22.751,26.5
"2021_8_27_14_2",23.515,26.9
"2021_8_27_14_3",24.005,26.9
"2021_8_27_15_0",22.853,27
"2021_8_27_15_1",23.924,27.6
"2021_8_27_15_2",24.41,27.9
"2021_8_27_15_3",24.481,27
"2021_8_27_16_0",23.913,26.5
"2021_8_27_16_1",24.174,25.8
"2021_8_27_16_2",25.09,26.2
"2021_8_27_16_3",25.213,25.8
"2021_8_27_17_0",21.936,22.2
"2021_8_27_17_1",24.95,23.5
"2021_8_27_17_2",23.506,22.6
"2021_8_27_17_3",22.646,22.5
"2021_8_27_18_0",23.978,23.1
"2021_8_27_18_1",22.197,21.8
"2021_8_27_18_2",22.006,21.6
"2021_8_27_18_3",21.354,21.1
"2021_8_27_19_0",21.563,21.1
"2021_8_27_19_1",21.324,20.6
"2021_8_27_19_2",20.485,19.7
"2021_8_27_19_3",19.529,18.6
"2021_8_27_20_0",18.717,17.9
"2021_8_27_20_1",18.194,17.6
"2021_8_27_20_2",18.197,17.6
"2021_8_27_20_3",18.249,17.4
"2021_8_27_21_0",17.635,16.9
"2021_8_27_21_1",17.247,16.4
"2021_8_27_21_2",16.705,16
"2021_8_27_21_3",16.435,15.6
"2021_8_27_22_0",16.049,15.5
"2021_8_27_22_1",15.766,15.3
"2021_8_27_22_2",15.895,15.2
"2021_8_27_22_3",15.624,15
"2021_8_27_23_0",15.49,14.8
"2021_8_27_23_1",15.317,14.6
"2021_8_27_23_2",15.418,14.5
"2021_8_27_23_3",15.382,14.5
"2021_8_28_0_0",15.279,14.6
"2021_8_28_0_1",15.47,14.8
"2021_8_28_0_2",15.549,14.9
"2021_8_28_0_3",15.597,14.8
"2021_8_28_1_0",15.546,15.1
"2021_8_28_1_1",15.648,14.7
"2021_8_28_1_2",15.096,14.4
"2021_8_28_1_3",14.853,14.1
"2021_8_28_2_0",14.65,13.7
"2021_8_28_2_1",14.223,13.5
"2021_8_28_2_2",14.411,13.9
"2021_8_28_2_3",14.696,14.1
"2021_8_28_3_0",15.184,14.2
"2021_8_28_3_1",14.931,14.1
"2021_8_28_3_2",15.057,14.5
"2021_8_28_3_3",15.439,14.6
"2021_8_28_4_0",15.448,14.6
"2021_8_28_4_1",15.505,14.8
"2021_8_28_4_2",15.758,14.9
"2021_8_28_4_3",15.751,15.1
"2021_8_28_5_0",15.906,15.1
"2021_8_28_5_1",15.828,14.9
"2021_8_28_5_2",15.851,15.1
"2021_8_28_5_3",15.937,15.1
"2021_8_28_6_0",15.977,15.1
"2021_8_28_6_1",16.082,15.2
"2021_8_28_6_2",16.208,15.3
"2021_8_28_6_3",16.172,15.3
"2021_8_28_7_0",16.079,15.3
"2021_8_28_7_1",16.153,15.2
"2021_8_28_7_2",16.232,15.4
