"timestamp_normalizzato","target","evja_temp"
"2021_8_26_10_1",28.535,25.8
"2021_8_26_10_2",28.841,25.7
"2021_8_26_10_3",25.513,24.8
"2021_8_26_11_0",26.807,25.3
"2021_8_26_11_1",25.81,25.6
"2021_8_26_11_2",27.497,26.9
"2021_8_26_11_3",28.16,27.8
"2021_8_26_12_0",28.422,28.3
"2021_8_26_12_1",30.756,30.1
"2021_8_26_12_2",31.133,30.1
"2021_8_26_12_3",30.779,29.7
"2021_8_26_13_0",31.532,30.3
"2021_8_26_13_1",31.488,31.6
"2021_8_26_13_2",29.252,31.8
"2021_8_26_13_3",30.372,31.5
"2021_8_26_14_0",30.197,31.7
"2021_8_26_14_1",30.073,32.1
"2021_8_26_14_2",29.238,32.1
"2021_8_26_14_3",29.49,31.5
"2021_8_26_15_0",29.095,31.9
"2021_8_26_15_1",28.566,32.1
"2021_8_26_15_2",28.732,31.7
"2021_8_26_15_3",28.975,31.9
"2021_8_26_16_0",29.822,31.7
"2021_8_26_16_1",29.706,32.1
"2021_8_26_16_2",29.843,31
"2021_8_26_16_3",29.315,30.4
"2021_8_26_17_0",28.917,30.5
"2021_8_26_17_1",29.224,29.9
"2021_8_26_17_2",29.371,29.4
"2021_8_26_17_3",28.74,28.8
"2021_8_26_18_0",28.849,28
"2021_8_26_18_1",28.43,28
"2021_8_26_18_2",27.736,27.4
"2021_8_26_18_3",26.76,26.9
"2021_8_26_19_0",26.271,26.2
"2021_8_26_19_1",25.741,25.7
"2021_8_26_19_2",24.844,24.7
"2021_8_26_19_3",24.005,23.8
"2021_8_26_20_0",22.985,22.5
"2021_8_26_20_1",22.105,21.6
"2021_8_26_20_2",21.619,21.1
"2021_8_26_20_3",21.315,21.1
"2021_8_26_21_0",21.5,20.9
"2021_8_26_21_1",21.237,20.6
"2021_8_26_21_2",20.845,20.4
"2021_8_26_21_3",20.704,20.5
"2021_8_26_22_0",21.364,21.1
"2021_8_26_22_1",22.387,21.9
"2021_8_26_22_2",22.405,21.9
"2021_8_26_22_3",22.38,21.9
"2021_8_26_23_0",22.281,21.7
"2021_8_26_23_1",22.298,21.6
"2021_8_26_23_2",21.906,21.5
"2021_8_26_23_3",22.061,21.5
"2021_8_27_0_0",21.854,21.3
"2021_8_27_0_1",21.803,21.3
"2021_8_27_0_2",21.812,21.2
"2021_8_27_0_3",21.579,21
"2021_8_27_1_0",21.486,20.8
"2021_8_27_1_1",21.114,20.5
"2021_8_27_1_2",21.145,20.6
"2021_8_27_1_3",21.287,20.6
"2021_8_27_2_0",20.875,20.2
"2021_8_27_2_1",20.552,20.1
"2021_8_27_2_2",20.521,20
"2021_8_27_2_3",20.726,20.1
"2021_8_27_3_0",20.714,20
"2021_8_27_3_1",20.698,20.1
"2021_8_27_3_2",20.829,20
"2021_8_27_3_3",20.254,19.5
"2021_8_27_4_0",19.756,19.1
"2021_8_27_4_1",19.659,19
"2021_8_27_4_2",19.366,18.8
"2021_8_27_4_3",18.999,18.4
